Index,Verb.IMPF,VerbClass,Spanish,Example,Verb.IRR,Verb.PFV
374,tsáti yó 1.,vt,tiramos,"Tsati yu calu can tyin tsa ndu iya can. Tiré el caldo, porque ya se agrió. 2. vi nos acobardamos Tuhvá xaan ina tsatí nu yuu can. En esa piedra se acobardan los perros. 3. tsatí tsi vi se tira, se sale Ndihi maa ndutya yihí tsitsi taza yu tsati tsa nduvá can. Se tiró toda el agua que tenía en mi taza, cuando se cayó.",cuá cati yo,tsati yo
374,"tsáti yó 1. vt tiramos Tsati yu calu can tyin tsa ndu iya can. Tiré el caldo, porque ya se agrió. 2.",vi,nos acobardamos,"Tuhvá xaan ina tsatí nu yuu can. En esa piedra se acobardan los perros. 3. tsatí tsi vi se tira, se sale Ndihi maa ndutya yihí tsitsi taza yu tsati tsa nduvá can. Se tiró toda el agua que tenía en mi taza, cuando se cayó.",cuá cati yo,tsati yo
374,"tsáti yó 1. vt tiramos Tsati yu calu can tyin tsa ndu iya can. Tiré el caldo, porque ya se agrió. 2. vi nos acobardamos Tuhvá xaan ina tsatí nu yuu can. En esa piedra se acobardan los perros. 3. tsatí tsi",vi,"se tira, se sale","Ndihi maa ndutya yihí tsitsi taza yu tsati tsa nduvá can. Se tiró toda el agua que tenía en mi taza, cuando se cayó.",cuá cati yo,tsati yo
375,tsatú tsi,ve,NA,NA,NA,arde Tsatu xaan ndaha yu nu cayu jaha ñuhu. Me arde mucho en la mano donde me quemé con el fuego.
376,tsátsií yo 1.,ve,comemos,Ni ican tsatsí ñi pan nuu iyó vico tindaha. Ellos comen pan cuando hay boda. 2. tsatsí tsi vi duele Tsatsí xaan nu cua tyaa tumii tsi yo. Si nos pica la abeja carpintera nos duele mucho. 3. vi sabe (sabor) Suvi nyixi vaha xaan tsatsí tu yihí pila tsihin tsi. Los tamales de elote saben muy sabroso si tienen panela.,cuá catsi yo,tsatsi yo
376,tsátsií yo 1. ve comemos Ni ican tsatsí ñi pan nuu iyó vico tindaha. Ellos comen pan cuando hay boda. 2. tsatsí tsi,vi,duele,Tsatsí xaan nu cua tyaa tumii tsi yo. Si nos pica la abeja carpintera nos duele mucho. 3. vi sabe (sabor) Suvi nyixi vaha xaan tsatsí tu yihí pila tsihin tsi. Los tamales de elote saben muy sabroso si tienen panela.,cuá catsi yo,tsatsi yo
376,tsátsií yo 1. ve comemos Ni ican tsatsí ñi pan nuu iyó vico tindaha. Ellos comen pan cuando hay boda. 2. tsatsí tsi vi duele Tsatsí xaan nu cua tyaa tumii tsi yo. Si nos pica la abeja carpintera nos duele mucho. 3.,vi,sabe (sabor),Suvi nyixi vaha xaan tsatsí tu yihí pila tsihin tsi. Los tamales de elote saben muy sabroso si tienen panela.,cuá catsi yo,tsatsi yo
377,tsátsi yíhí yo,vt,mordemos,"Na jacuhun ndaha un nuu quini can, coto catsi yihi ti ndaha un. No acerques la mano al marrano, no sea que te muerda.",cuá cátsi yihi yo,tsaátsi yihi yo
378,tsatsin s el primo tsatyá yo (tsatyá yo),vt,"excavamos, escarbamos",Cua catya yu iin soco pila nuquehe ihya. Voy a excavar un pozo aquí en el patio.,cuá catyá yo,tsatyá yo
379,tsi part Indica complemento de oración. (no se usa con verbos que indiquen que alguien está hablando) Nyehe yu tsi ra can icu. Ayer,vi,NA,NA,NA,a ese hombre. Véase Gram 2.2.2.
380,tsicá yo,vi,"andamos, caminamos",Tsicá yu cuhu cua nyehe yu quiti. Ando en el monte para ver a los animales.,cuá caca yo,tsica yo
381,tsicá cáñí yó,vi,NA,viajamos,cuá caca cañi yo,tsica cañi yo
382,tsicá íñi yo,vt,pensamos,Cuaha xaan tsa tsicá iñi yu cuenda xuhun yu tsa cuanaa. Pienso mucho en el dinero que se me perdió.,cuá caca iñi yo,tsica iñi yo
383,tsicán yo,vt,pedimos ¿A tsa tsican un tsa catsi un tsi ñahnu,Loria? ¿Ya le pediste tu comida a doña Gloria?,cuá ndacán yo,tsicán yo
384,tsicán núu yo,vt,pedimos prestado,"Intuhun amigo tsican nuu ra xuhun tsi yu, ta catyí yu tsihin ra “ña cuví acacu yu tsi un tyin nduve tucu xuhun yuhu.>” Un amigo llegó a pedirme prestado dinero y le dije: “no puedo ayudarte, porque tampoco tengo dinero.”",cua ndacan nuu yo,tsican nuu yo
385,tsicán táhvi y0,vt,oramos,Ndacan tahvi yo tsi Nyoo  na cundahvi iñi ra tsi yo. Oramos a  Dios para que tenga misericordia de nosotros.,cuá ndácan tahvi yó,tsicán tahvi yo
386,tsícá núú yó,vi,paseamos,Cuaahan ndo cucaca nuu ndo ta cusii iñi ndo luxu. Vayan a pasear y diviértanse un poco.,cuá caca nuu yo,tsica nuu yo
387,tsicá túhun yo,vt,preguntamos,Vaha xaan ca tun cundaca tuhun un tsi rahnu dotor. Será mejor que vayas a preguntarle al doctor.,cuá ndácaá tuúhun yo,tsicá túuhun yo
388,tsicá úhvi yo,vi,NA,"cojeamos ¿Naa tahan tsaha un tyin tsicá uhvi un? ¿Qué te pasó en el pie?, porque andas cojeando.",cuá caca uhvi yo,tsica uhvi yo
389,tsicáva yo,vi,1. nos acostamos,"Tsacuaa cua cava ndi cusu ndi. A la noche vamos a acostarnos para dormir. 2. tsicavá tsi se deja, se pone, se tiende Cava niñi nu ihñi netyi tsi. La mazorca se tenderá al sol, para que se seque.",cuá cava yo,tsicává yo
390,tsicó yó,vi,"mecemos, meneamos",Javico tyuhva tyin na cuiso lee can. Mece la hamaca para que se duerma el nene.,cuá vico yo,tsicó yo
391,tsicó núú yó,vi,"1. balanceamos, oscilamos, damos vueltas (de un lado a otro)",Nihi xaan tsicó nuu yutun jahá tatyi. Los árboles se están balanceando mucho con el viento. 2. nos columpiamos Sii xaan tsicó ra luhlu can nuu yoho. Qué bonito se está columpiando ese niño en el mecate.,cuá vico nuu yo,tsico nuu yo
392,tsíicó ndúvi yó,vi,"circundamos, damos vueltas (vamos en círculos)",Tsicó nduvi xaan yu tsihin cuayu yutun. Estoy dando vueltas en el caballito de la feria.,cuá vico ndúvi yo,tsico ndúvi yo
393,tsicóondutya yo,vi,nos estamos bautizando,"Tsicoondutyá sehe ra Peuru jahá ra jutu. El hijo de Pedro está siendo bautizado, el cura lo hace.",cuá coondutyá yó,tsicoondutyá yó
394,tsicó túvi yó,vi,"1. nos volcamos, damos vueltas","Cuaha xaan ra cuatyi tsihi tsihin carru tsa tsico tuvi icu. Murieron muchos jóvenes en el carro que se volteó ayer. 2. tsicó tuvi tsi derriba Tsa quitsi tsa taan, cuaha xaan yuu tsico tuvi tsitsi ityi. Cuando vino el temblor, derribó muchas piedras en el camino.",cuá vico túví yo,tsico túví yo
395,tsicuíta tsi,vi,1. se inclina,"Tsa ñihi xaan vatsí tatyi, tsicuitá maa ndicaha. Cuando el viento viene muy recio, las palmas se inclinan. 2. se comba, se afloja, se cuelga Yoho na ityi jahma tsicuitá tsi tyin vee xaan jahma. El tendelero se cuelga mucho porque está pesada la ropa.",cuá cuita tsi,tsicuita tsi Sinón tsitá tsi tsicuiñí yo
396,ndita tsi,ve,NA,NA,NA,está colgado
397,tsicuíñi yo,vi,"nos paramos, nos detenemos",Tsicuiñi ra nyehé ra cuayu. El se paró viendo los caballos.,cuá cucuiñi yo,tsicuiñi yo
398,tsicuíñi tsiti yo,vi,nos arrodillamos,Vehe ñuhu maa ñi tsicuiñí tsiti nyivi. En las iglesias siempre se arrodilla la gente.,cuá curñ; tsiti yo,tsicuiñi tsiti yo
399,tsicún tsi,vi,"se atora, se atasca","Cuahán yu Ndiyuhu ta cuun savi ta tsicun carro yu, ña cuvi cuhun yu. Iba a Pinotepa de Don Luis, pero llovió recio y mi carro se atascó, y no pude llegar.",cuá vicun tsi,tsicun tsi)
400,tsíhí yó 1.,vt,"tomamos, bebemos",Tsihi xaan yuhu tsa cuví nyixi. Tomaba mucho aguardiente. 2. tsihí tsi vi sabe (de sabor) Ndutya ndoo vaha xaan tsihí tsi tsihin ndutya tucuaya. El jugo de caña sabe bien con jugo de limón.,cua cóhó yo,tsihi yo
400,"tsíhí yó 1. vt tomamos, bebemos Tsihi xaan yuhu tsa cuví nyixi. Tomaba mucho aguardiente. 2. tsihí tsi",vi,sabe (de sabor),Ndutya ndoo vaha xaan tsihí tsi tsihin ndutya tucuaya. El jugo de caña sabe bien con jugo de limón.,cua cóhó yo,tsihi yo
401,tsíhin tsi,vi,"gotea, se sale (el agua)","Cuñí yu tyin jica vaha ndo iñi vehe yu tyin tsihín xaan. Quiero que arreglen el techo de mi casa, porque gotea mucho.",cuá tsihin tsi,tsihin tsi
402,tsíhí rá yúhú ñá,vt,NA,NA,la besa Numi nyaá ña sehe ña ta tsihí ña yuhu tsi. Ella está abrazando y besando a su hijo. Icuà còhò rà yùhù fiá,tsìhì rà yúhú fá
403,tsiihí yo,vi,morimos,"Cuu yo tatu cuuhví yo ta ña nducu yo numeri. Si estamos enfermos y no buscamos medicina, nos morimos.",cuá cúvi yo,cuá cid yo; tsihi yo
404,tsiihí naahá yo,vi,desmayamos,"Na tsitó yo nacuvi tyin tsa ndava ñi ra, tsaha tsihi naaha ra. No sabemos por qué, no más se puso a saltar y se desmayó.",cuá cúvi nááha yo,tsihi nááha yo
405,tsinaa yo,vi,nos perdemos,"Tun cuahán ndo Nucoohyo, jaha xaan ndo cuenda coto cunaa ndo. Si van a México, cuídense mucho, no sea que se pierdan.",cuá cunaa yo,tsinaa yo
406,cuanaa yo,ve,NA,NA,NA,estamos perdidos
407,tsiínú yó,vi,NA,NA,NA,corremos Tsa cañi xaan tsinu yo; nyehe jihna yu la caña de azúcar tumangu el árbol de mango
408,tsínu tsi,vi,"se construye, se hace",Cuñí yu cua tsinu intuhun vehe yu. Quiero que se construya una casa para mi.,tsinu tsi,tsinu tsi)
409,tsinú íñi yo,vi,creemos,Tsinú iñi yu tsa caahán rahnu can tyin ra tsahnu cuví ra. Creo lo que dice ese señor porque es un anciano.,cuá tsinú iñi yó,cuá cuinú iñi tsinú iñi yo
410,tsinúhñi yo,vi,nos amarramos,Tsa ndihi tsinuhñi indiqui cuaha can. Ya se terminó de amarrar esa multitud de vacas.,cuá cúnuhñí yo,tsinuhñi yo Véase tsaahñí yo nuhñi s el manojo nuuhñí yo ve estamos amarrados
410,"tsinúhñi yo vi nos amarramos Tsa ndihi tsinuhñi indiqui cuaha can. Ya se terminó de amarrar esa multitud de vacas. [cuá cúnuhñí yo, tsinuhñi yo] Véase tsaahñí yo nuhñi s el manojo nuuhñí yo",ve,NA,NA,NA,estamos amarrados
411,tsindást tsi,vi,1. se cierra,"Tsindasí maa yuvehe ihya; ña ñiñi tsa maa yo casi. Esta puerta se cierra sola; no necesita que nosotros la cerremos. 2. se obstruye, se impide Cuenda tsa tsindasi ityi yahá carru, ña tsitó yo nacuenda. Muy seguido se obstruye el paso de los carros, no sabemos por qué. 3. se tapa Cuñí yu iin nailu cundasi yu tyin cuún xaan savi. Quiero un impermeable para taparme, porque llueve mucho.",cuá cundasi tsi,tsindasi tsi Véase tyasí yo ndasi ve está cerrado
411,"tsindást tsi vi 1. se cierra Tsindasí maa yuvehe ihya; ña ñiñi tsa maa yo casi. Esta puerta se cierra sola; no necesita que nosotros la cerremos. 2. se obstruye, se impide Cuenda tsa tsindasi ityi yahá carru, ña tsitó yo nacuenda. Muy seguido se obstruye el paso de los carros, no sabemos por qué. 3. se tapa Cuñí yu iin nailu cundasi yu tyin cuún xaan savi. Quiero un impermeable para taparme, porque llueve mucho. [cuá cundasi tsi, tsindasi tsi] Véase tyasí yo ndasi",ve,NA,NA,NA,está cerrado
412,tsiñá ti,vi,se reproduce (animales),"Sii xaan tsiñá ndivi jana un, cuaha xaan ti. Qué bien se reproducen tus gallinas, ya son muchas.",cua cúñá ti,tsiña ti
413,tsíñi yó,vt,1. oímos,"Soho xaan yu, ña tsiñí maa yu tsa caahán ndo tsihin yu. Estoy muy sordo, no oigo lo que me dicen. 2. entendemos, comprendemos lin nu tsahan yu, ña tsiñí maa yu naa natuhún nahnu. En un lugar a donde fui no entendí lo que hablaban.",cuá cúñi yo,tsiñi yo
414,tsíñi yo,vi,nos emborrachamos,"Icu tsiñi xaan yu tyin tsihi yu cuaha nyixi. Ayer me emborraché mucho, porque tomé mucho aguardiente.",cuá cúñi yo,tsiñi yo
415,"tsiñiñúhú tsí, tsífúhú tsí",vt,"se necesita, sirve","Cua javaha yu intuhun vehe tyin tsiñinuhú tsi tsi yuhu. Voy a hacer una casa, porque la necesito.",cua tsiñiñuhu tsi,tsiñiñuhu tsi
416,tsiñí vahá yo,vi,NA,NA,entendemos mixteco,entendemos el dialecto
417,tsiquíhi iñi yo,vi,tenemos hipo,"Ndaca ndutya coho yu, tsiquihí iñi yu. Tráeme agua para beber, porque tengo hipo.",cuá cúquihi iñi yo,tsiquihi iñi yo
418,tsiquíhi tahnu tsi,vi,se dobla,Uhvi xaan tsaha yu nu tsiquihi tahnu. Me duele mucho donde se me dobló el pie.,cuá quih+ táhnú tsi,tsiquihi tahnú tsi
419,"tsísócó y0, sóco y0",vi,tenemos hambre,"Yaha  xaan tsisoco yo tyin ña ñihi maa yo tsa catsi yo. Tuvimos mucha hambre, porque no encontrábamos qué comer.",cuá cúsocó yo,tsisocó yo
420,tsitá yó,vt,NA,cantamos ¡Vaha xaan tsitá ndo yaa! ¡Cantan muy bonito las canciones!,cuá cata yo,tsita yo
421,tsíta tsi,vi,1. se inclina,"Tsita xaan ndicaha tyin vatsí tatyi xaan. Las palmas se están inclinando mucho porque viene el ciclón. 2. se comba, se cuelga Tsitá ña maa yoho na ityi jahma can jahá tsa cuaha jahma ticaá nuu can. El mecate de tendedero se cuelga en él por tanta ropa que tendieron.",cua cuita tsi,tsita tsi Sinón tsicuitá tsi
422,tsitahán yo,vi,1. cabemos,"Cuñí tsi tsa nasama yo ihya tyin luhlu xaan cuartu, ihya ña cutahán vaha coo yo. Es necesario cambiar este cuarto porque es muy chico; ya no cabemos bien. tsitsá tsi  2. tsitahán tsi alcanza Tsicá xaan iñi yu tyin cua tyihi yu ndutya vehe yu tan ña tsitó yu tun cutahan xuhun yu. Estoy pensando mucho en meter agua a mi casa, pero no sé si me alcanza el dinero.",cua cútahan yo,tsicútahan yo
423,tsitó yó,vt,"conocemos, sabemos",Tsitó yu tyaa yu tutu tsihin maquina. Yo sé escribir en máquina.,cuá coto yo,tsito yo
424,tsíitú tsí,vi,está lleno,"Icu tsahan yu cuhu tsijocon yu iin tandaa mangu tsitu cuii jaha yu, vee xaan. Ayer fui al monte a cortar un cañamazo de mangos y lo llené bien; estaba muy pesado.",cuá cútu tsi,tsitu tsi)
425,tsitú yó,vt,limpiamos (una milpa),Tsitú ra itu ra tyin tacan ta cua cuhva tsi niñi. Está limpiando la milpa para que dé mazorca.,cua cútu yo,tsitu yo
426,tsítsá tsí,vi,se maciza,Tsa ndihi cuii nyixi tsitsa; nduve ca maa nyixi yutya. Ya todos los elotes están macizos; ya no hay elotes tiernos.,cuá cutsa tsi,tsitsa tsí
427,tsityí yó,vi,nos bañamos,Cohon cucutyi yo nda yutya. Vamos a bañarnos al río.,cuá cútyi yo,tsityi yo
428,jacutyí yo,vt,NA,NA,NA,bañamos
429,tsítyi tsi,vi,se madura,"Vita nyica ihya tu tsa tsityi can. Este mamey es blando, si ya está maduro.",cuá cútyi tsi,tsityi tsi
430,"tsityiñú yó, tsátyiñú yo",vt,"utilizamos, usamos","Tsa ndihi tsityiñu yu pala can, cuví naquihin un can. Ya terminé de usar la pala, ya puedes recojerla.",cuá cútyiñu yo,cuátyiñu yo; tsityiñu yo
431,tsíyo yo,vi,tenemos diarrea,"Cua nducu yo yoo ra cuví janduvaha sehe yu tyin tsiyó xaan tsi ta vayii cuu tsi. Voy a buscar a alguien que pueda curar a mi hija, porque tiene mucha diarrea, y no sea que se muera.",cuá tsiyo yoó,tsiyo yo
432,tsíyo yo níñi,vi,NA,NA,NA,tenemos disentería
433,tsicuiñí tsiti yo,vi,NA,NA,NA,nos arrodillamos
434,tyáá yó,vt,1. ponemos,"Quicu iin pantaloon yu ta tyaa un intuahun ñi yitin can. Hazme un pantalon y le pone una bolsa. 2. echamos (tortillas) Cua tyaa ña ixta tsihin yutsan. Ella va a echar tortillas con la masa. 3. escribimos Tyaá yo nuu tutu tuhun tsa tsiñiñuhú tsi yo. Nosotros escribimos en los papeles las cosas que nos sirven. 4. escogemos (una fecha) Vityin cuví quivi tsa tyaa yo tsa cuhun yo cutindaha yo; yacan cuhun yo vityin. Hoy es el día que habíamos escogido para casarnos; por eso iremos ahora. 5. pegamos (con pegamento o clavo) ¿Yoo tyaa tutu nyaá tsaha vehe can? ¿Quién pegó el papel que está en la pared? 6. tyaá ti pica (insectos, arañas, alacranes) Yuuhví xaan yu nyehe yu tujuhma coto tyaa ti tsi yu. Tengo miedo de que me vaya a picar el alacrán.",cuá tyaa yo,tyaa yo
435,tyandahá yo,vt,NA,NA,NA,empujamos
436,tyasohó yo,vt,NA,NA,NA,escuchamos
437,tyayaá yo,vt,NA,NA,NA,probamos
438,tyayuhú yo,vt,NA,NA,NA,besamos
439,tyaahnyá tsi,vi,"se corta, se rompe",Tun tsa luxu cuii ñi ca tan tahan tsi tutyi tsaha yu tyahnya. Por poquito y me cortaba la vena del pie.,cuá tyahnya tsi,tyahnya tsi Véase tsaahnyá yo
440,tyaahyú tsi,vi,se pudre,Tyitya tsa jata yu icu ñuu tsa ndihi cuii can tyahyu. Los plátanos que compré antier ya se pudrieron.,cua tyahyú tsi,tyahyú tsi
441,"tyáán [variante de ityaan] 1. mañana 2. el día próximo  tyaá yahvi yo, tyayahví yo (tyáá yáhvi yo, tyáyáhvi yo)",vt,"1. hacemos caso, obedecemos","Yoñi maa tyaá yahvi tsa cahán ra lee. Nadie hace caso de lo que dice el bebé. 2. obedecemos Taahán tsi tyaá yahvi yo ley ra ndaca ñaha tyin tsihin yacan ta ña cua cuhun yo vehe caa. Es necesario obedecer la ley del gobierno, porque así no iremos a la cárcel. 3. respetamos Cuatyi cutyayuhu un tsi ña jindutya un, tyin cuñí tsi tyayahvi un tsi ña. Ve a besar a tu madrina, porque la debes respetar.",cua tyaa yahvi yo,tyaa yahvi yo
442,tyacú tsi,vi,se oye,"Cañi cuún savi, cuee ña tyacú caahán tsi. Está lloviendo lejos porque apenas se oyen los truenos.",cuá tyacú tsi,tyacú tsi)
443,tyáhvi yo,vt,pagamos,"Maa ña can tsicán ña nyayu ta ña cuñí ña tyahvi ña. Ella pidió carne, pero no quiere pagar.",cuá tyahvi yo,tyahvi yo
444,tyándáhá yó,vt,empujamos,"Jaha tumañi iñi tyandahñi un luxu carru yu tyin ña catyín maa can. Hazme el favor de empujar un poco mi carro, porque no arranca.",cuá tyandaha yo,tyándaha yo Sinón tandahá yo
445,tyasí yo,vt,1. cerramos,"Casi llave ndutya can tyin tsa tsitu caa can. Cierra la llave del agua, porque ya se llenó la cubeta. 2. obstruimos, impedimos Tsa cua quitsi cahñi cuii ña ra cuehe can tsi un ta yatyi xaan tyasi yu. Ya iba a venir ese malvado a matarte, y pronto se lo impedí. 3. tapamos Tsa tyasi yu nuu yavi nyaá can tyin coto cusana canacava yo tsitsi can. Ya tapé aquel hoyo para que no caigamos dentro.",cuá casi yo,tyasi yo
446,ndasi tsi,ve,NA,NA,NA,está cerrado
447,tsindasí tsi,vi,NA,NA,se cierra; se obstruye,se impide; se tapa
448,tyásóho yo,vt,escuchamos,"Tyasoho vaha tsa caahán rahnu toho can, tyin cutuñí iñi un sahan. Escucha bien lo que dice ese mestizo, porque tú entiendes el español.",cua tyásoho yo,"tyásoho yo Véase tyaá yo, soho yo"
449,tyátyá yo,vi,NA,orinamos,cuá tyáatya yó,tyáatya yó
450,tyáxin tsí,vt,mama ¿Nacuvi tyin tsaahnyá iñi un nacoó un sehe lihli un tsaha cuahán un,"Ñoco, ta nyehé vaha un tyin ña  cuví caxin tsi mamila? ¿Por qué te atreves a dejar a tu bebé y vas a Pinotepa, si bien sabes que no puede tomar en mamila? (lit: no puede mamar en mamila)",cuá caxin tsi,tyaxin tsi
451,tyáxin yo 1.,vt,metemos (en un lugar donde no hay mucho  espacio),"Tyaxin yu yuhva nu yiqui tucu. Metí el hilo por el ojo de la aguja.  2. tyaxín tsi vi se mete, se sume (en un lugar donde no hay mucho  espacio) ¿Naa tahan yiqui naha un?, tyin tyaxin tsi intuhun can. ¿Qué te pasó en las costillas?, porque se te sumió una.",cuá cuaxin yo,tyaxin yo
451,tyáxin yo 1. vt metemos (en un lugar donde no hay mucho  espacio) Tyaxin yu yuhva nu yiqui tucu. Metí el hilo por el ojo de la aguja.  2. tyaxín tsi,vi,NA,"se mete, se sume (en un lugar donde no hay mucho  espacio) ¿Naa tahan yiqui naha un?, tyin tyaxin tsi intuhun can. ¿Qué te pasó en las costillas?, porque se te sumió una.",cuá cuaxin yo,tyaxin yo
452,tyaxín yo,vt,1. achatamos,"Tsa ndihi cuii yuhu mityi ihya tyaxin yu tsahnya yu yuu tsihin can tsa tsahnya yu cuhu. Ya achaté todo este machete, porque pegué con muchas piedras cuando corté el monte. 2. machacamos, machucamos Cua cahnya yutun iñu nyaá can, vaha vaha caxin cuatyi un tsi can. Ve a cortar ese árbol de espinas y lo machacas bien. 3. maltratamos Tyaxin ra luhlu tutu can tsihin ndaha ra. El niño maltrató ese papel con la mano.",cuá caxin yo,tyaxin yo
453,taxín yo,vi,NA,NA,NA,se achata; se machaca; se maltrata
454,tyáyáá yó,vt,lamemos,Tyayaa jihna tucuaa can tun vixi can. Pruebe primero la naranja si está dulce.,cuá tyayaáa yo,"tyayaa yo Véase tyaá yo, yaa yo ayahví yo (tyáyáhvi yo) [variante de tyaá yahvi yo] hacemos caso, obedecemos"
455,tyáyúhú yó,vt,besamos,Cuahán yu cua tyayuhu yu tsi sihi mañi yo María Lupi. Voy a besar a nuestra señora la virgen de Guadalupe.,cua tyayúhu yó,tyayúhu yó
456,tyícúhva yo,vt,medimos,"Cuhva nuu metru un tyicuhva yu vehe ihya, ta coto yo nacaa tsa quiihin can. Préstame tu metro, para medir la casa y sepamos que ancho tiene.",cua tyicuhva yo,tyicuhva yo
457,tyicúhva yo,vt,"corregimos, dominamos","Tyicuhvá yo tsi sehe yo nañihi tsi cuhva coo tsi. Corregimos a nuestros hijos, para que aprendan a vivir bien.",cuá tyicuhvá yo,tyicuhvá yo
458,tyíhí yó,vt,"1. metemos, mezclamos","Tyihí yo caca tsihin ndutya ta cua tyihyo nuñi tsaaha. Mezclamos cal con agua para cocer el nixtamal. 2. echamos, embadurnamos, ungimos Nyixi tyihi rahnu can tsi yu, tsaha quita cahñi tsi yu. Ese señor me embadurnó con aguardiente, y se me bajó la calentura. 3. ponemos Tsa tyihi ra tsatsin yu tyiyo iñi vehe ra. Mi primo ya puso las tejas en el techo de su casa.",cuá tyihi yo,"tyihi yo tyitsahá yo vt obedecemos  tyihí yo cuhva (tyíhí yó cúhva) vt decidimos Tsa tyihi yu cuhva tsa cua jata yu ¡in indiqui ta quita rahnu nacotó tsi yu, ta catyí ra tyin tsiihí xaan indiqui. Ya había decidido comprar una vaca, pero me salió un señor que conozco, y me dijo que está muriendo mucho ganado. [cuá tyihi yo cúhváa, tyihi yo cúhva]"
458,"tyíhí yó vt 1. metemos, mezclamos Tyihí yo caca tsihin ndutya ta cua tyihyo nuñi tsaaha. Mezclamos cal con agua para cocer el nixtamal. 2. echamos, embadurnamos, ungimos Nyixi tyihi rahnu can tsi yu, tsaha quita cahñi tsi yu. Ese señor me embadurnó con aguardiente, y se me bajó la calentura. 3. ponemos Tsa tyihi ra tsatsin yu tyiyo iñi vehe ra. Mi primo ya puso las tejas en el techo de su casa. [cuá tyihi yo, tyihi yo] tyitsahá yo",vt,obedecemos  tyihí yo cuhva (tyíhí yó cúhva) vt decidimos,"Tsa tyihi yu cuhva tsa cua jata yu ¡in indiqui ta quita rahnu nacotó tsi yu, ta catyí ra tyin tsiihí xaan indiqui. Ya había decidido comprar una vaca, pero me salió un señor que conozco, y me dijo que está muriendo mucho ganado.",cuá tyihi yo cúhváa,tyihi yo cúhva
458,"tyíhí yó vt 1. metemos, mezclamos Tyihí yo caca tsihin ndutya ta cua tyihyo nuñi tsaaha. Mezclamos cal con agua para cocer el nixtamal. 2. echamos, embadurnamos, ungimos Nyixi tyihi rahnu can tsi yu, tsaha quita cahñi tsi yu. Ese señor me embadurnó con aguardiente, y se me bajó la calentura. 3. ponemos Tsa tyihi ra tsatsin yu tyiyo iñi vehe ra. Mi primo ya puso las tejas en el techo de su casa. [cuá tyihi yo, tyihi yo] tyitsahá yo vt obedecemos  tyihí yo cuhva (tyíhí yó cúhva)",vt,decidimos,"Tsa tyihi yu cuhva tsa cua jata yu ¡in indiqui ta quita rahnu nacotó tsi yu, ta catyí ra tyin tsiihí xaan indiqui. Ya había decidido comprar una vaca, pero me salió un señor que conozco, y me dijo que está muriendo mucho ganado.",cuá tyihi yo cúhváa,tyihi yo cúhva
459,"tyíhí xeehé yo, tyixeehé yo",vt,escondemos,Cuñí yu tyihi xeehe yu xuhun yu tyin iyó xaan ra suhu. Quiero esconder mi dinero porque hay muchos ladrones.,cuá tyihi xeehé yo,tyihi xeehé yo Véase xeehe
460,tyíhí yáhvi y0,vt,"nos endeudamos, adeudamos","Na tyihi yahvi naha un tsi un tyin ñata coto un tun ñibi un xuhun tyahvi un. No te endeudes, porque todavía no sabes si tendrás dinero para pagar.",cua tyihi yahvi yo,tyihi yahvi yo
461,tyíhyó tsi,vi,se cuece,"Tsa tsinu suvi jaha tyixi yu, soco ndi  cumañí tyihyo can. Mi tía ya hizo tamales, pero falta cocerlos.",cua tyihyo tsi,tyihyo tsi
462,tyíí tsi,vi,NA,se moja ¿Naa tahan un tyin ndihi cuii un tyii? ¿Qué te pasó? porque estás completamente mojado.,cuá tyii yó,tyii yo
463,jatyiñú yo s trabajamos tavá yo tyiñu,vt,NA,NA,NA,mandamos a un mandado
464,"tyirú s el tiro, el cartucho tyisó tsi (tyíso tsi)",vt,1. pica,"Icu tsahan yu cuhu tsi nducu yu nducu ta tyiso iñu tsaha yu. Ayer fui al monte a buscar leña y me piqué el pie con una espina. 2. entra Na tyisó maa nduyu tsata yuu, tyin ndava xaan can. El clavo no entra en la piedra, porque está muy dura.",cuá cuiso tsi,tyiso tsi
465,tyisó tsi,vi,NA,NA,se hierve Ndutya can tyiso xaan tsi,cuví
466,tyisó yó,vt,"ponemos sobre, derramamos sobre, echamos sobre",Tyiso petroliu tsata nducu can ta tyaa un ñuhu. Echa petróleo en la leña y préndele lumbre.,cua tyiso yó,tyiso yó
467,tyisó táhán yó,vt,encimamos,"Tyiso tahan vaha caja cerveza can coto nduva can. Encime bien las cajas de cerveza, no sea que se caigan.",cuá tyiso tahan yo,tyiso tahan yo
468,tyitúví yó,vt,enrollamos (cosas anchas como petate y cosas resistentes como alambre),Tsa ndihi tyituvi yu cable ñuhu ihya. Ya terminé de enrollar este cable de luz.,cua tyitúvi yó,tyituvi yó Sinón natuví yo
469,tyítsáhá yó,vt,"obedecemos, hacemos caso",Na tyitsahá maa ra ndi maa nduxaan yo tsi ra. El no obedece aunque lo regañemos.,cuá tyitsaha yó,"tyitsaha yó Véase tyihí yo, tsaha yo"
470,tyosó yo,vt,NA,"regamos, rociamos, derramamos ¿A ña tyoso un ita tsaha vatsí un? ¿No regaste las flores antes de venir?",cuá coso yo,tyósó yo
471,caahán vaha yo,vi,NA,NA,NA,hablamos e)
