Index,Verb,VerbClass,Spanish,Example,Verb.IMPF,Verb.PFV,Rest2
143,kuió né'e na,v.t.,1. hacer que vuelva,"Xíó né'e na noó chee, dá ná o keí ri iti. Ella está haciendo que vuelva el toro para que no se coma la milpa. 2. voltear Kuió né'e na dita ná, dá chi kei ña. Voltea la tortilla porque se va a quemar. Deriv. de kane'e na¡",xiíó né!e na,y  ni xió né'e na,
145,kuió noó na,v.i.,"adelantarse, rebasar",Ni'i kua'an na chi sa ni xió noó na kua'an na noo yo. Ellos van recio porque ya se nos adelantaron. Deriv. de nooy,xió noó na,ni xió noó na,
146,dákuió tuú na,v.t.,hacer rodar kuitá na v. i 1. estar cansado,"Xíká ndava'o ni sa'in choon ta kúú ni kuitái. Me fui muy lejos a un mandado y me cansé. 2. estar débil Kuitá na, ko ta'ón ndée ná, ni kuna'á kú'u na. Él está débil, no tiene energía ya se ha prolongado su enfermedad.",kuitá na,ni kuitá na,
147,kuita ña,v.i.,"1. brotar (semilla, planta)","Sa ni kasá'á vá xíta te'e. Ya empezaron a brotar las plantas de calabaza. 2. tirarse, derramarse Ni xita yúsa. Se tiró el atole. 3. avanzar (fuego) Ni xita ñó'o ndika yúku káa, ni ndi'i va yíto ni kei. El fuego avanzó a la ladera del cerro; se quemaron todos los árboles allá.",xíta ña,ni xita ña,
148,kuita na ko'on na,yv.i.,"dispersar, ir (cada quien por su lado)","Dá ni xita mií xí kua'an xi kechóon xi. Entonces ellos se fueron, cada quien por su lado, a trabajar. Comp. de kuita ña, ko'on na",xíta na kua'an na,ni xita na kua'an na,
149,kuita tachí ña,v.i.,1. inflarse,"Ni xita tachí dita i'íní kánóo noo xóo. Se infló la tortilla caliente que está en el comal. 2. ampollarse Ni kei ndá'a ná kúú ni xita tachían. Se quemó su mano y se ampolló. Comp. de kuita ña, tachi",xíta tachí ña,ni xita tachí ña,
150,kuita yirá noo ná,v.i.,"llorar (con muchas lágrimas), lagrimear","Comp. de kuita ña, yirá noo",xíta yirá noo ná,ni xita yirá noo ná,
151,kukayá ñá,v.i.,ponerse ronco,"Ni kukayá diko ná kée dei, ni ndadi diko ná. Se puso ronco por la gripa y se le cerró la garganta. Deriv. de kayá",kúkayá ñá,ni kukayá ñá,
152,kukini ini na,v.i.,tener asco,"Kukini ini na, ko kuú ta'on keí ná ndá ña'a ni kuu ni. Tiene asco, no puede comer cualquier cosa. Comp. de kini, ini;",kúkini ini na,NA,pas. ni kukini ini nal
153,kukuaá na,v.i.,quedarse ciego,"Ni kukuaá vá ditoi, chi ndaa tiin ndaa va ñaá ná xíonoo na. Mi tío se quedó ciego; lo agarran de la mano para que pueda caminar. Deriv. de kuaá",kúkuaá na,ni kukuaá na,
154,kukua'a ná,v.i.,multiplicarse,"Ni kukua'a vá kíti ná, oni va ni sa kuu rí ní kúu. Se multiplicaron los chivos de ellos, ¡tenían nada más tres! Deriv. de kua'a",kúkua'a ná,ni kukua'a ná,
155,kukueé na;,v.i.,estar bien (usado en un saludo muy común de,San Andrés Yutatío) —¿Á kúkueé ni ní? —Kúkueé vá yu'u. —¿Cómo está usted? —Estoy bien.,kúkueé na,ni kukueé na,Var. kákueé na
156,kundáá ñá,y.i.,ponerse morado (parte del cuerpo),Ni ñani yíto nooí kúú ni kundáá ví noo ni ñani rá. Mi cara fue golpeada por un palo y se puso morada. Deriv. de ndáá,kúndáá ñá,ni kundáá ñá,Sinón. kundí'í ñá
157,kundá'a ná,y.i.,señalar (con la mano),Kúndá'a ná nooí tído ko kándaa inii ndí kián kóni na. Él me está señalando con la mano pero no entiendo lo que quiere. Deriv. de ndá'a,kúndá'a ná,ni kundá'a ná,
158,kundakí ná,yv.i.,hacerse fuerte,"Sa ni kundakí sa'a taleé, chi ni kasá'á kí  xíka xi. Las piernas del niño se hicieron fuertes porque ya empezó a caminar. Deriv. de ndakí",kúndakí ná,ni kundakí ná,
159,kundí'í ñá,v.i.,ponerse morado ¿,Á ni kundí!í ví sa'a ní noo ni ñani yuu? ¿Se puso morado su pie donde se pegó con la piedra? Deriv. de ndí'í,kúndi'í ñá,ni kundí'í ñá,Sinón. kundáá ñá
160,kundikí,v.i.,llegar (la madrugada),"Tá ni kundikí, dá kásá'á kána chéli. Cuando llega la madrugada, empiezan a cantar los gallos. Deriv. de ndikí",kúndikí,ni kundikí,
161,ku'oon ini na,y.i.,tomar a la ligera (no dar importancia adecuada),"Ketátá ndó xi tá ni kasá'á kú'u xi. A sa kú'oon ini ndo ña kandei ndó dión oni. Curen a los niños cuando se enfermen. No tomen eso a la ligera; no dejen pasar el tiempo así nomás. Deriv. de oon, ini;",kú'oon ini na,ni ku'oon ini na,
162,kuiin ni sisa na,v.i.,NA,NA,estar parado (firme),NA,"estar firme (en una decisión, sujeto singular)"
163,kusa'a ná,y.i.,"mover (los pies), marchar",Deriv. de sa'a,kúsa'a ná,ni kusa'a ná,
164,kutama ini na,y.i.,sentirse triste (sin ganas),"Kútama ini na, chi kuna'á nda'o kú'u na, ñoó ndani ni kadúsá vá ná. Se siente triste y sin ganas porque tiene mucho tiempo enfermo y está aburrido. Comp. de tama, ini,",kútama ini na,ni kutama ini na,
165,kutata na,v.i.,"quedarse tartamudo, tartamudear","Kútata va yáa ná, sa'á ñoó ko ká'an va'a na. Él tartamudea, por eso no puede hablar bien. Deriv. de tataz",kútata na,ni kutata na,
166,ka'an da'án na,v.i.,NA,NA,NA,NA,hablar (español)
167,kutáyíí ná,v.i.,sentirse orgulloso,"Kúryíí ná, chi ni kasá'á ndúsaa di'ón de'e na, chi kua'an xi norté. Ya se siente muy orgulloso porque le empezó a llegar dinero de su hijo que se fue al Norte. Deriv. de táyií",kútáyíí ná,ni kutáyií ná,"Var. kuryíí ná, kuráyíí ná"
168,kutéin na,y.i.,estar ocupado,"Kutéin ndava'o na, chi ió víko ve'e na. Está muy ocupado porque tiene fiesta en su casa. Deriv. de tein,",kútéin na,ni kutéin na,
169,kuti na,v.£,arar y sembrar,"Xíti na, chi ni kasáa dai. Ellos siembran porque empezó la temporada de lluvia.",xíti na,ni xiti na,
170,kutí díní ñá,v.i.,llenarse (completamente),"Ni chití díní yoo na xí'ín takuií ndío na kua'an na. Se llenó completamente su cántaro de agua y se lo llevó. Comp. de kutí ná, dini",chítí díní ñá,ni chití díní ñá,
171,kutí tixi na,y.i.,NA,NA,NA,NA,"llenarse (el estómago), estar satisfecho (de comer) O keí kai ñá, chi ni chití nda'o tixii. Ya no quiero más porque estoy satisfecho (lit. se llenó mucho mi estómago). Comp. de kutí ná, tixi"
172,kutódo na,yv.i.,"ponerse jorobado lin tasá'ano ko kuú ka kaka va'a ra, dá chi ni kutódo va ra.","Un viejito ya no puede andar bien, se puso jorobado. Deriv. de tódo",kútódo na,ni kutódo na,
173,kutondó na,v.i.,"1. volverse enojón, volverse agresivo","Ni kutondó nda'o xi, káni nda'o xi takuáchí eskuelá. El niño se volvió muy agresivo, pues les pega mucho a los niños en la escuela. 2. volverse rebelde y agresivo Ñoó ni sisa va xi ni kutondó xi kua'an xi. Los niños crecieron y se volvieron rebeldes y agresivos. Deriv. de tondó",kútondó na,ni kutondó na,
174,"kuu na 1.v.i estar ocupado Kúu na ki'in na takuií ko!o na. Ella está ocupada trayendo agua para tomar. 2. v. i estar inquieto, estar travieso Kúu nda'o takuálí; ko kóni xi kandei tádi xí. Los niños están muy inquietos; no quieren estar en silencio. 3. v. 1 estar en movimiento Kúu ndá'a yíto kée tachi. Se están moviendo las hojas de los árboles por el viento. 4.",v.t.,ocupar ¿,"Ndá choon sá kuu ní kaa xaan, á kaa ndúva'a kamión kíán? ¿Para qué ocupa usted esa herramienta, es algo para arreglar carros?",kúu na,ni kuu na,
175,ndá choon kuu na ña ¿para qué lo quiere? 4 nda'í kuu ini na,v.i.,NA,NA,NA,NA,"sentir tristeza 4 ndato kuu ini na v. i estar contento, estar feliz kuu na v.i 1. morir ¿Á sa xí'i tasá'ano káa? ¿El anciano está muriendo allá? 2. estar enfermo ¿Á xí!i ní kée dei? ¿Usted tiene (lit. está enfermo de) gripa? 3. Se dice cuando alguien estornuda. —«¿Á xí'i ní? —Jaan, xí'i vei."
176,ndo'o kuu na sa'a ná,y.t.,NA,NA,NA,NA,ser amoroso (con alguien)
177,ku'u kuachí prima (de una mujer) ku'u na,y.i.,NA,"estar enfermo, enfermarse",kú'u na,"ni ku'u na, ni sa kú'u na",
178,kuu dokó na,v.i.,"1. pasar hambre, tener sed","Ni sa'an na yúku ta ni xi'i dokó na, chi ko ní sá ne'e na dita ko'on na keí ná. Él fue al monte y pasó mucha hambre porque no llevó comida. 2. morir (de hambre) Xí'i líto doko, chi ko ní'i ri lechí ko'o rí. El chivito está muriendo de hambre porque no tiene leche para tomar. Comp. de kuu na, dokó",xí!i dokó na,ni xi'i dokó na,
179,kuu ini na,v.t.,"desear (hacer algo), dar ganas (de hacer algo)","Kúu ini na ko'on na víko, tído ko kuú ta'on ko'on na dá chi ko ta'ón di'ón na. Él desea ir a la fiesta, pero no puede porque no tiene dinero. Comp. de kuu na, ini;",kúu ini na,ni kuu ini na,
180,ku'u ká'ano ini na,v.i.,perdonar (a alguien),"Ni kii na ni ndane'e na ndu'u ta kúú ni ku'u ká'ano va ini ndu sa'á ná, chi ko ná'á ta'on na to'on ká'an na, ñoó ndani kée na dión xí'ín ndu'u. Ellos vinieron y nos regañaron, pero los perdonamos porque no saben lo que hacen.  Comp. de ku'u na, ká'ano, ini,",kú'u ká'ano ini na,ni ku'u ká'ano ini na,Var. kuká'ano ini na Sinón. kilo ká'ano ini na
181,kuu kee na,v.£,"ser capaz, poder hacer","A kúu ta'on kee yu'u kava'i iin ve'e; sava'a na ti'a va kava'a ve'e kúu kee na. No soy capaz de hacer una casa; solamente el que sabe es capaz de hacerla.  Comp. de kuu, kee na;",kuu kee na,ni kuu ni kee na,
182,ku'u'u ini na,y.i.,"envidiar, tener envidia","Kú'u'u ini na, chi ni keva'a yu'u. Tienen envidia porque yo lo hice bien. Deriv. de u'u ini",kú'u'u ini na,ni ku'u'u ini na,
183,kuu yi'í na,v.i.,"estar desmayado, desmayarse","Xí!'i yi'í ií vá xí, ko xiín ta'on ña nduva'a xi. Todavía está desmayado; no se ha recuperado. Deriv. de kuu na",xí!i yi'í na,ni xi'i yi'í na,Véase ka'ání yi'í ña
184,kuvatá ná,v.i.,presumir,"Kúvatá ná, chi ní'i ná di'ón noó ta né'e choon. Están presumiendo porque reciben dinero del gobierno.",kúvatá ná,ni kuvatá ná,
185,kuvidi ñá,v.i.,ponerse dulce,Sa ni kuvidi va yíki yó!o. Ya se puso dulce esta calabaza. Deriv. de vidi,kúvidi ñá,ni kuvidi ñá,
186,kuvídí ítá,y.i.,volverse blanco (cabello),Ni kuvídí dini ná. Ya se le volvió blanco el cabello. Deriv. de vidi,kúvidí ñá,ni kuvídí ñá,
187,kuyaa na,v.i.,ponerse pálido,"Ni kuyaa nda'o xi, chi ni yu'ú nda'o xi. Se puso bien pálido porque se asustó mucho. Deriv. de yaaz",kúyaa na,ni kuyaa na,
188,kuya'i ña,v.i.,"ser vendido, venderse ¿",Ndeí nákaa noo kuya'i dita? ¿Dónde se venden tortillas? Deriv. de ya'i,kúya'i ña,ni kuya'i ña,Var. kaya'i ña
189,kuyati na,v.i.,acercarse,"Luu nda'o kána chéli kua'á káa, tá ni kuyati vei tuu noo. El gallo colorado canta muy bonito cuando se acerca el amanecer. Deriv. de yati",kúyati na,ni kuyati na,
190,kuyito na,v.i.,ponerse tieso,"Tá ni xi'i na, kúú ni kuyito va na. Cuando se murió, se puso tieso. Deriv. de yito",kúyito na,ni kuyito na,
191,4 keluu na,v.t.,NA,NA,NA,NA,"arreglar, embellecer (a una persona)"
194,kemáni ná,v.t.,NA,NA,NA,NA,favorecer (a alguien)
195,ndató'on mañá na,v.i.,NA,NA,NA,NA,planear (un fraude)
196,kedó'ó ná míí ná,v.i.,NA,NA,NA,NA,"desobedecer (lit. hacerse sordo) Y kee na mií ná v. t. fingir, aparentar"
197,"naá ná 1.v.i desaparecer, perderse Ni naá vá achá. El hacha se perdió. 2.",v.t.,perder,"Tá ni ko náni'í vakái, tá kúú kúnda'í inii sa'a ri, chi kua'á ndava'o di'ón ni naáí sa'a ri. Cuando no pude encontrar la vaca, me sentí triste porque perdí mucho dinero por ella.",naá ná,ni naá ná,
198,dánaa ná,v.t.,NA,NA,NA,NA,"pagar (una deuda) náa s. lugar (santo, del altar) 4 noo náa s. altar"
199,naá iní na,v.i.,"1. espantarse, admirarse","Ni naá vá iní na tá ni xini na iin koo. Se espantó cuando vio la culebra. 2. tener mucho sueño Ni naá iní xi, ni sa ndú'u xí ni kidi xi; ka ona dao dá ndakoo xi. El niño tuvo mucho sueño, se acostó y se quedó dormido hasta las ocho y media, entonces se despertó. 3. estar confundido Ko ní ndúsaa ini na ko'o na tata ná chi náá ini na kée tandó'ó na ve'e na. Ovidó tomarse la medicina porque está confundido a causa del problema familiar. Comp. de naá ná, ini,",náá iní na,ni naá iní na,
200,koon dai,v.i.,NA,NA,NA,NA,llover (lit. caer lluvia)
201,yoo dáí s. temporada (de lluvia) dá'i na (pres. de kada'i na) está tapado da'ina (Var. de kada'i na) cubrirse dá'ichi na,y.t.,secar,Dá'ichi na ndichi na noo ká'ani. Ellos secan sus ejotes en el sol.,dá'ichi na,ni da'íchi na,
202,nadaká ná,yv.t.,NA,NA,NA,NA,"mezclar, revolver"
205,dáká'a na,y.t.,tocar (instrumento musical),Va'a ndava'o dáka'a na guitarrá. Él toca muy bien la guitarra.,dáká'a na,ni daká'a na,
206,dáka'an na,y.t.,"aconsejar, convencer (a hacer algo malo)",Ni daká'an na ta kuálí dá ni naá xi. Ellos convencieron a los niños para que pelearan; por eso pelearon.,dáka'an na,ni daká'an na,
207,dáká'an na,y.t.,"avergonzar, difamar (en público)",Ni sa'an na ve'e chóon ni daká'an na ditoi sa'á di'ón tái na. Ellos fueron a la agencia a hablar en público sobre la deuda de mi tío.,dáká'an na,ni daká'an na,
208,naá ndodo ná,v.t.,1. disputar,Naá ndodo ná ñó'o ni ni'i ná noo tatá na. Están disputando por un terreno que les dejó su papá como herencia. 2. pelear Naá ndodó takuáchí valón. Los niños están peleando por el balón.,náá ndodo ná,ni naá ndodo ná,
209,na'a noo ná,y.i.,aparecer,"Ni na'a noo ná tixi sani ni xinii. Apareció en un sueño. Comp. de kana'a ña, noo;",ná'a noo ná,ni na'a noo ná,
210,naá óon ña,v.i.,"desperdiciarse, echarse a perder","Ni naá óon tata ni chi'ii, chi koó dai kóon. Se echó a perder la semilla que sembré porque no llovió.",naá óon ña,ni naá óon ña,
211,nachi'i na planchá,y.t.,planchar,Ko'in nachi'ii planchá dá'on. Voy a planchar ropa.,náchí'i na planchá,ni nachi'i na planchá,Sinón. nakadi na dá'on
212,nachina'á ná,v.t.,1. volvera informar,"Náchína'á taa né'e choon na ñoo ña taan koo juntá. Las autoridades vuelen a informar a la gente del pueblo que mañana habrá una junta.  2. jurar Ná dá'a ni nachina'á ndó induú, chi noo ió Ndios kíán. No juren por el cielo porque allá está sentado Dios.  Deriv. de china'á ná",náchina'á ná,ni nachina'á ná,
213,nachindei na,yv.t.,"volver a poner (en el suelo, complemento plural)",Ni nachindei na yuu ña kúú kóo noó ni sa kian. Ellos volvieron a poner las piedras del corral donde estaban. Deriv. de chindei na;,náchindei na,ni nachindei na,
214,nachinôo na,v.t.,"1. volver a poner (encima, complemento singular)  2. volver a registrar, volver a apuntar (en una lista, complemento singular)","Náchinóo na kuu ná noo tuti ta né'e choon, dá chi kandei tuku na ñoo yó'o viti. Vuelven a registrarse en el censo porque van a vivir en este pueblo otra vez.  Deriv. de chinóo na",NA,pres. náchinóo nay  ni nachinóo na,
215,nadaa ná,y.i.,"recibir calor, calentarse",Deriv. de daa ná,nádaa ná,ni nadaa ná,
216,ná koo dá'a ni,v.i.,NA,NA,NA,NA,no ser
217,nada'i na,v.i.,"cubrirse, taparse (con ropa o cobija)",Deriv. de kada'i na,náda'i na,ni nada'i na,
218,nadaka ña,y.i.,"1. ser mezclado, ser revuelto","Ni nadaka noo ndúchi xí'ín noni. Los frijoles fueron revueltos con el maíz.  2. estar confundido Ni nadaka ñaxinítóni ná, ko ná'á ka na ndí na dákáki taleé kián kée na. Está confundido, no sabe ni lo que hace. Deriv. de daka ñá",nádaka ña,ni nadaka ña,
221,nadákúchi na,y.t.,1. volver a bañar,"Ni nadakúchi na ta ló'o káa, chi ni yako tuku va ñíi xi. Volvió a bañar a aquel pequeño porque se ensució otra vez. 2. volver a pintar Ni nadakúchi na ve!e na xí'ín color mií noó ni sa kian. Volvieron a pintar su casa con el primer color que tenía. Deriv. de kuchi naz",nádákúchi na,ni nadakúchi na,
222,nadákui'ino na,y.t.,1. poner (vestido o camisa a otra persona) 2. volver a vestir (a otra persona),Deriv. de dákui'ino na,nádákui'ino na,ni nadakuí'ino na,
223,nadana na,yv.t.,NA,NA,NA,NA,"1. confundir Ni nadana na íchi. Él confundió el camino. 2. confundir, turbar (por alguna distracción) Ní'i nda'o ká'an tele,"
224,nadaon na,v.t.,"1. cambiar, alterar (una cosa por otra)","Kua'an na nadaon na do'ono ná, chi kandoo leé vaan. Fue a cambiar su camisa porque le quedó chica. 2. cambiar (de un lugar a otro) Ni nadaon na chee na, chi ndei'i nda'o noó ndíko ri. Cambiaron su bueyes a otro lugar porque se puso muy lodoso donde estaban amarrados. Deriv. de daon na",nádaon na,ni nadaon na; pres. la. sing. nádamai; pres. 2a. sing. nádamón,Var. nadaon na
226,nadasá ná,v.t.,repartir,Nádasá ná noni noo tái naan. Están repartiendo maíz donde deben. Deriv. de dasá ná,nádasá na,ni nadasá ná,
227,nadasa ñá,yv.i.,repartirse,Ni nadasa ndéi. Se repartió el mole. Deriv. de dasa ña,nádasa ñá,ni nadasa ñá,
228,nadátaká na,y.t.,"recoger, rejuntar","Ko'in nadátakái dá'on, chi sa nayaa vaan. Voy a recoger mi ropa porque ya está seca. Deriv. de dátaká na",nádátaká na,ni nadataká na,
229,nadáyaa na,v.t.,NA,NA,NA,NA,secar (con trapo)
230,nadíon ña,v.i.,"brillar, resplandecer",Ndei ví ndato ndádíion kamión vei xoo ñoó. Qué bien brilla la pintura del carro que viene allá. Deriv. de díon,nádion ña,ni nadíon ña,Var. ndadíon ña
231,naka'anda na,v.t.,1. recortar,"Ni naka'anda na tavlá, chi ká'ano va nakadi ri ró. Recortaron la tabla, porque está grande.  2. cortar Ni sa naka'anda vei yú'u yúuí. Limpié (lit. Corté los pedazos de palma sobrantes de) la orilla del petate. 3. dividir Ni ndaka'anda na ñó'o noó de'e na. Dividió su terreno entre sus hijos.  Deriv. de ka!anda na",náka'anda na,ni naka'anda na,
232,naka'ani ña,v.i.,"llenarse (un lugar con agua, humo o fuego), extenderse (agua, humo o fuego)",Ni naka'ani ño'oma ini ve'e na. El humo se extendió en toda la casa.,náka'ani na,ni naka'ani na,
233,nakaa sa'a ná,y.i.,"estirar (las piernas), ponerse de pie","Kó'o nakaa sa'a yo, chi ni kutoon va yó ndéi yó. Vamos a estirar las piernas porque estamos cansados de estar sentados. Deriv. de sa'a",nákaa sa'a ná,ni nakaa sa'a ná,
234,nakadi ri,v.i.,"volver a masticar (lo que  comió), rumiar","Ni sa'an kítií ni sasá'an rí, tá viti ndéi rí nákadi ri. Mis chivos comieron y ahora están rumiando. Deriv. de kadi na",nákadi ri,ni nakadi ri,
235,nakaki na,v.i.,volver a nacer (fig.),"Kua'in kuui tído ni kaki vei, sa'á ñoó kéei kuendá ña ni nakaki tukui. Estaba a punto de morir, pero me salvé, por eso considero que volví a nacer.",nákaki na,ni nakaki na,
236,nakandá na,yv.i.,moverse,Deriv. de kandá ña,nákandá na,ni nakandá na,Véase dákandá na
237,nakani kuáchi ini na,v.i.,"dudar, desconfiar","Torá nákani kuáchi ini yo, ndá ndi kuu ió ña'a ndo'o yó. Si dudamos de nuestra decisión, tal vez va a sucedernos alguna desgracia. Deriv. de kuáchi",nákani kuáchi ini na,ni nakani kuáchi ini na,
238,nakani uu ini na,v.i.,estar indeciso,"Ni tó'ón ña'a ko kée na, dá chi daá kuití nákani uu ini na. Él no hace nada porque siempre está indeciso. Deriv. de uu, ini,",nákani uu ini na,ni nakani uu ini na,
239,nakao na,v.i.,1. dar vuelta,"Keí káa kua'an vúrro, ni nakao ri kua'an ri. En esa calle va un burro y se dio la vuelta y se fue.  2. moverse (en el sueño) Nákao xi noo kándu'u xí kídi xi, chi ndá ndi kuu ni yu'ú xi. De repente se mueve, está dormido, a lo mejor se asustó. Deriv. de kao na",nákao na,ni nakao na,
